Date,Price,Open,High,Low,Vol.,Change %
"Feb 02, 2018","32,508.00","32,641.00","32,743.00","32,268.00",221.74K,-0.43%
"Feb 01, 2018","32,647.00","32,844.00","32,991.00","32,567.00",200.01K,-0.60%
"Jan 31, 2018","32,844.00","32,664.00","32,929.00","32,293.00",249.51K,0.35%
"Jan 30, 2018","32,728.00","32,898.00","32,982.00","32,653.00",30.96K,-0.52%
"Jan 29, 2018","32,900.00","33,175.00","33,516.00","32,854.00",211.93K,-0.77%
"Jan 26, 2018","33,154.00","32,699.00","33,203.00","32,612.00",263.81K,1.45%
"Jan 25, 2018","32,680.00","32,903.00","33,096.00","32,620.00",269.15K,-0.66%
"Jan 24, 2018","32,897.00","32,906.00","32,998.00","32,728.00",209.90K,-0.04%
"Jan 23, 2018","32,911.00","32,346.00","32,930.00","32,332.00",219.32K,1.74%
"Jan 22, 2018","32,349.00","32,243.00","32,381.00","32,011.00",167.64K,0.35%
"Jan 19, 2018","32,235.00","32,075.00","32,248.00","31,983.00",159.00K,0.54%
"Jan 18, 2018","32,061.00","31,961.00","32,202.00","31,837.00",209.78K,0.33%
"Jan 17, 2018","31,955.00","31,910.00","32,015.00","31,673.00",196.76K,0.15%
"Jan 16, 2018","31,908.00","31,320.00","31,958.00","31,304.00",188.49K,1.88%
"Jan 15, 2018","31,320.00","31,417.00","31,721.00","31,278.00",181.67K,-0.28%
"Jan 12, 2018","31,407.00","31,093.00","31,409.00","31,072.00",141.71K,1.01%
"Jan 11, 2018","31,094.00","31,073.00","31,143.00","30,981.00",132.73K,0.07%
"Jan 10, 2018","31,072.00","30,997.00","31,300.00","30,944.00",166.53K,0.28%
"Jan 09, 2018","30,985.00","30,838.00","31,058.00","30,711.00",135.74K,0.48%
"Jan 08, 2018","30,836.00","30,771.00","30,950.00","30,732.00",131.33K,0.23%
"Jan 05, 2018","30,764.00","30,741.00","30,912.00","30,693.00",120.99K,0.05%
"Jan 04, 2018","30,748.00","30,616.00","30,795.00","30,591.00",132.47K,0.43%
"Jan 03, 2018","30,615.00","30,517.00","30,750.00","30,493.00",142.62K,0.27%
"Jan 02, 2018","30,532.00","29,955.00","30,566.00","29,941.00",122.83K,1.95%
"Dec 29, 2017","29,948.00","29,945.00","30,027.00","29,871.00",98.97K,0.57%
"Dec 28, 2017","29,778.00","29,663.00","29,791.00","29,592.00",17.26K,0.36%
"Dec 27, 2017","29,670.00","29,598.00","29,729.00","29,542.00",130.71K,0.21%
"Dec 22, 2017","29,607.00","29,380.00","29,617.00","29,327.00",199.68K,0.85%
"Dec 21, 2017","29,358.00","29,301.00","29,448.00","29,133.00",175.46K,0.19%
"Dec 20, 2017","29,301.00","29,266.00","29,339.00","29,090.00",122.25K,0.18%
"Dec 19, 2017","29,248.00","29,122.00","29,381.00","29,094.00",132.91K,0.41%
"Dec 18, 2017","29,128.00","28,802.00","29,158.00","28,721.00",156.87K,1.17%
"Dec 15, 2017","28,790.00","29,202.00","29,214.00","28,736.00",160.76K,-1.40%
"Dec 14, 2017","29,199.00","29,217.00","29,439.00","29,045.00",155.77K,-0.09%
"Dec 13, 2017","29,224.00","28,811.00","29,318.00","28,725.00",167.65K,1.48%
"Dec 12, 2017","28,799.00","28,915.00","29,048.00","28,739.00",153.66K,-0.37%
"Dec 11, 2017","28,906.00","28,627.00","28,981.00","28,587.00",142.84K,1.00%
"Dec 08, 2017","28,620.00","28,321.00","28,715.00","28,226.00",165.62K,1.09%
"Dec 07, 2017","28,312.00","28,230.00","28,479.00","28,149.00",197.00K,0.38%
"Dec 06, 2017","28,206.00","28,880.00","29,018.00","28,167.00",248.03K,-2.39%
"Dec 05, 2017","28,896.00","29,180.00","29,249.00","28,860.00",158.51K,-1.02%
"Dec 04, 2017","29,193.00","29,114.00","29,354.00","28,804.00",174.58K,0.26%
"Dec 01, 2017","29,116.00","29,322.00","29,438.00","29,048.00",178.35K,-0.69%
"Nov 30, 2017","29,319.00","29,662.00","29,691.00","29,139.00",185.47K,-1.03%
"Nov 29, 2017","29,623.00","29,655.00","29,837.00","29,559.00",24.11K,-0.12%
"Nov 28, 2017","29,659.00","29,773.00","29,867.00","29,373.00",172.94K,-0.37%
"Nov 27, 2017","29,770.00","29,907.00","30,045.00","29,641.00",205.38K,-0.47%
"Nov 24, 2017","29,910.00","29,839.00","29,959.00","29,737.00",182.77K,0.30%
"Nov 23, 2017","29,820.00","30,045.00","30,168.00","29,607.00",182.70K,-0.75%
"Nov 22, 2017","30,046.00","29,853.00","31,341.00","29,842.00",167.47K,0.66%
"Nov 21, 2017","29,850.00","29,201.00","29,851.00","29,197.00",173.88K,2.23%
"Nov 20, 2017","29,198.00","29,193.00","29,238.00","29,061.00",110.51K,0.02%
